name,neighbourhood_cleansed,room_type,price,review_scores_rating,price_log
Chelsea Studio sublet 1 - 2 months,Chelsea,Entire home/apt,125,100,4.828
Designer 1 BR Duplex w/ Terrace- Spectacular Views,Lower East Side,Entire home/apt,299,100,5.700
Lovely Apt & Garden;  Legal;  Best Area; Amenities,South Slope,Entire home/apt,135,100,4.905
1 Bedroom in 2 Bdrm Apt- Upper East,Upper East Side,Private room,130,100,4.868
Prime Location in Manhattan,Chelsea,Private room,123,100,4.812
( F) Excellent/Pvt Rm,Jamaica,Private room,55,100,4.007
"Quiet, sunny Midtown Manhattan apt.",Hell's Kitchen,Entire home/apt,195,100,5.273
Big Room/Washer-Dryer/Wifi/AC/JMZ,Bedford-Stuyvesant,Private room,80,100,4.382
cozy studio with parking spot,Middle Village,Entire home/apt,98,100,4.585
Clean and convenient 2BR apartment,Ridgewood,Private room,160,100,5.075
3 floors of luxury!,Middle Village,Entire home/apt,265,100,5.580
MIDTOWN WEST - Large alcove studio,Hell's Kitchen,Shared room,105,100,4.654
Beautiful Uptown Manhattan apartmnt,Harlem,Private room,200,100,5.298
Sml Rm in pr Brst  Park Sl great for Med/students,Prospect Heights,Private room,100,100,4.605
City Room - Private Penthouse Apt.,Harlem,Entire home/apt,121,100,4.796
Cozy bedroom by Yankee Stadium,Highbridge,Private room,50,100,3.912
Great apartment with private bathroom and entrance,East Harlem,Private room,100,100,4.605
Private Garden Apt • New Renovation,Williamsburg,Entire home/apt,140,100,4.942
Modern comfort in art infused landmark Brownstone,Bedford-Stuyvesant,Private room,71,100,4.263
"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",NoHo,Private room,130,100,4.868
Spacious Williamsburg Share w/ LOFT BED,Williamsburg,Private room,69,100,4.234
Cozy 2 br in sunny Fort Greene apt,Fort Greene,Private room,68,100,4.220
Cozy East Village Railroad 1 Bed!,East Village,Entire home/apt,130,100,4.868
City Room - Private & Comfy Bedroom,Harlem,Private room,64,100,4.159
